nvcc -arch=sm_35 -ptx smolyak_kernel.cu -DD=20 -DM=11521 -DN=10 -DSMAX=8 -DMU_MAX=3
Lab 1: 
  GPU1: Tesla K80
Lab 2: 
  GPU2: Tesla K80
Lab 3: 
  GPU3: Tesla K80
Lab 4: 
  GPU4: Tesla K80
loading B_inv_N=10_mu=3.mat ... done
Iter	GFLOPS	Memcpy_IN, MB/s	Memcpy_OUT, MB/s	collect	cpu	gemm	total	Runtime	Diff
100	592.6 (25.3%)	377.4 (0.6%)	5733.1 (0.8%)	32.4%	5.1%	16.0%	80.1%	2535.3	1.060660e-04
200	597.2 (26.9%)	1095.2 (0.2%)	5887.8 (0.8%)	32.2%	5.6%	14.0%	79.7%	2450.2	8.525434e-05
300	597.3 (27.0%)	1244.8 (0.2%)	6003.7 (0.8%)	31.1%	5.7%	14.1%	78.9%	2418.0	6.852010e-05
400	596.0 (27.8%)	1140.3 (0.2%)	5973.2 (0.8%)	31.2%	5.6%	13.8%	79.6%	2385.4	5.505419e-05
500	591.8 (28.3%)	1244.6 (0.2%)	5769.5 (0.9%)	30.8%	5.3%	13.4%	79.0%	2361.3	4.421652e-05
600	597.0 (27.8%)	1268.9 (0.2%)	6354.8 (0.8%)	31.5%	5.5%	13.7%	79.4%	2348.6	3.549671e-05
700	606.2 (27.4%)	1198.8 (0.2%)	6095.3 (0.8%)	31.8%	5.2%	13.6%	79.0%	2340.1	2.848452e-05
800	597.8 (27.8%)	1168.5 (0.2%)	6332.4 (0.8%)	31.3%	5.3%	14.2%	79.6%	2332.7	2.284886e-05
900	605.0 (27.9%)	1200.2 (0.2%)	6284.1 (0.8%)	31.2%	5.3%	13.8%	79.2%	2323.5	1.832215e-05
1000	608.5 (27.0%)	1200.6 (0.2%)	6116.5 (0.8%)	31.5%	5.7%	13.5%	78.8%	2322.1	1.468816e-05
1100	614.9 (27.1%)	1156.0 (0.2%)	6525.6 (0.8%)	30.5%	6.0%	13.9%	78.5%	2318.4	1.177221e-05
1200	615.2 (27.3%)	1210.7 (0.2%)	6305.5 (0.8%)	31.3%	5.2%	13.9%	78.7%	2313.8	9.433389e-06
1300	628.6 (26.6%)	1213.9 (0.2%)	6088.0 (0.8%)	31.7%	4.8%	13.0%	77.1%	2310.6	7.558110e-06
1400	632.0 (26.1%)	1268.1 (0.2%)	6296.8 (0.8%)	32.3%	5.9%	12.9%	78.2%	2310.3	6.054911e-06
1500	607.9 (27.7%)	1329.5 (0.2%)	6085.2 (0.8%)	31.9%	5.1%	13.0%	78.8%	2306.4	4.850252e-06
1600	618.9 (27.0%)	1264.5 (0.2%)	6013.4 (0.8%)	32.5%	4.9%	12.8%	78.2%	2304.0	3.885011e-06
1700	606.0 (27.3%)	1235.9 (0.2%)	6091.8 (0.8%)	31.8%	5.8%	13.3%	79.2%	2303.7	3.111718e-06
1800	597.6 (27.5%)	1315.8 (0.2%)	5992.7 (0.8%)	32.3%	5.7%	13.0%	79.5%	2304.0	2.492279e-06
1900	601.1 (27.8%)	1333.7 (0.2%)	6286.6 (0.8%)	31.7%	5.6%	12.9%	79.1%	2302.1	1.996104e-06
2000	598.6 (28.1%)	1261.4 (0.2%)	5809.6 (0.9%)	32.2%	5.2%	13.1%	79.7%	2299.7	1.598699e-06
2100	598.8 (28.0%)	1264.0 (0.2%)	6118.4 (0.8%)	32.2%	5.0%	12.6%	78.8%	2297.9	1.280412e-06
2200	596.9 (28.0%)	1320.9 (0.2%)	5824.5 (0.9%)	32.6%	4.9%	12.6%	79.2%	2296.6	1.025500e-06
2300	607.8 (27.9%)	1288.9 (0.2%)	5686.4 (0.9%)	32.1%	5.2%	12.6%	78.9%	2294.2	8.213617e-07
2400	595.2 (27.2%)	1210.7 (0.2%)	5132.2 (0.9%)	31.8%	6.3%	13.0%	79.4%	2296.3	6.578547e-07
2500	640.9 (26.1%)	1347.9 (0.2%)	5328.0 (0.9%)	33.3%	5.6%	12.1%	78.3%	2295.2	5.269078e-07
2600	631.8 (27.0%)	1260.9 (0.2%)	5581.2 (0.9%)	31.8%	5.2%	12.5%	77.7%	2292.5	4.220375e-07
2700	638.2 (25.7%)	1263.5 (0.2%)	5501.7 (0.9%)	32.6%	5.4%	12.7%	77.4%	2293.4	3.380593e-07
2800	597.9 (27.5%)	1268.4 (0.2%)	5041.5 (1.0%)	32.9%	5.5%	12.4%	79.5%	2293.8	2.707907e-07
2900	597.9 (27.3%)	1299.9 (0.2%)	5443.9 (0.9%)	32.8%	5.5%	12.5%	79.1%	2295.0	2.169143e-07
3000	595.6 (27.7%)	1237.5 (0.2%)	5339.7 (0.9%)	31.8%	6.0%	12.6%	79.2%	2295.1	1.737716e-07
3100	600.3 (26.7%)	1307.7 (0.2%)	5482.2 (0.9%)	32.3%	5.6%	13.3%	78.9%	2297.5	1.392002e-07
3200	598.0 (27.9%)	1162.9 (0.2%)	5334.8 (0.9%)	31.5%	5.2%	13.1%	78.9%	2296.7	1.115136e-07
3300	598.2 (27.5%)	1274.8 (0.2%)	5876.5 (0.8%)	31.9%	5.3%	13.5%	79.2%	2297.0	8.934869e-08
3400	597.9 (27.8%)	1229.3 (0.2%)	5263.6 (1.0%)	31.7%	5.4%	13.5%	79.5%	2296.6	7.156202e-08
3500	593.6 (28.2%)	1250.5 (0.2%)	5687.6 (0.9%)	31.2%	5.4%	13.4%	79.3%	2295.9	5.735191e-08
3600	600.1 (27.6%)	1225.4 (0.2%)	5999.8 (0.8%)	30.7%	5.9%	13.6%	78.9%	2295.7	4.594575e-08
3700	608.4 (27.3%)	1310.5 (0.2%)	5889.6 (0.9%)	31.7%	5.3%	13.3%	78.7%	2295.3	3.682013e-08
3800	624.8 (26.5%)	1283.5 (0.2%)	4941.9 (1.0%)	31.6%	5.5%	13.4%	78.2%	2295.3	2.950066e-08
3900	631.5 (26.6%)	1245.4 (0.2%)	6307.2 (0.8%)	31.4%	5.6%	13.3%	77.9%	2294.5	2.364806e-08
4000	611.7 (27.1%)	1334.8 (0.2%)	5296.0 (0.9%)	32.1%	6.0%	12.5%	78.8%	2294.5	1.894441e-08
4100	596.6 (27.2%)	1321.6 (0.2%)	5407.0 (0.9%)	32.8%	5.1%	13.1%	79.3%	2295.5	1.518372e-08
4200	595.3 (27.6%)	1301.9 (0.2%)	6059.9 (0.8%)	32.8%	5.2%	12.6%	79.2%	2295.9	1.215655e-08
4300	623.1 (26.6%)	1340.1 (0.2%)	5931.1 (0.8%)	31.9%	5.4%	13.0%	78.0%	2295.7	9.752372e-09
4400	595.8 (27.9%)	1392.8 (0.2%)	5536.8 (0.9%)	32.3%	5.7%	12.6%	79.7%	2295.4	7.818357e-09
4500	601.9 (27.7%)	1261.9 (0.2%)	5744.8 (0.9%)	32.2%	5.8%	12.7%	79.4%	2295.0	6.264988e-09
4600	597.0 (27.8%)	1277.9 (0.2%)	5395.6 (0.9%)	32.1%	5.4%	12.8%	79.2%	2294.8	5.036652e-09
